Date,inflation_rate,house_price
2000-Jan,2.7,127215.0
2000-Feb,3.2,127559.0
2000-Mar,3.8,127921.0
2000-Apr,3.1,128658.0
2000-May,3.2,129402.0
2000-Jun,3.7,130143.0
2000-Jul,3.7,130899.0
2000-Aug,3.4,131705.0
2000-Sep,3.5,132529.0
2000-Oct,3.4,133357.0
2000-Nov,3.4,134193.0
2000-Dec,3.4,135049.0
2001-Jan,3.7,135848.0
2001-Feb,3.5,136583.0
2001-Mar,2.9,137330.0
2001-Apr,3.3,138127.0
2001-May,3.6,138949.0
2001-Jun,3.2,139755.0
2001-Jul,2.7,140567.0
2001-Aug,2.7,141406.0
2001-Sep,2.6,142239.0
2001-Oct,2.1,143075.0
2001-Nov,1.9,143841.0
2001-Dec,1.6,144574.0
2002-Jan,1.1,145241.0
2002-Feb,1.1,145938.0
2002-Mar,1.5,146673.0
2002-Apr,1.6,147451.0
2002-May,1.2,148280.0
2002-Jun,1.1,149152.0
2002-Jul,1.5,150098.0
2002-Aug,1.8,151086.0
2002-Sep,1.5,152064.0
2002-Oct,2.0,153045.0
2002-Nov,2.2,153971.0
2002-Dec,2.4,154894.0
2003-Jan,2.6,155736.0
2003-Feb,3.0,156595.0
2003-Mar,3.0,157475.0
2003-Apr,2.2,158427.0
2003-May,2.1,159445.0
2003-Jun,2.1,160460.0
2003-Jul,2.1,161519.0
2003-Aug,2.2,162638.0
2003-Sep,2.3,163821.0
2003-Oct,2.0,165004.0
2003-Nov,1.8,166071.0
2003-Dec,1.9,167091.0
2004-Jan,1.9,168107.0
2004-Feb,1.7,169273.0
2004-Mar,1.7,170575.0
2004-Apr,2.3,171999.0
2004-May,3.1,173573.0
2004-Jun,3.3,175248.0
2004-Jul,3.0,177032.0
2004-Aug,2.7,178787.0
2004-Sep,2.5,180496.0
2004-Oct,3.2,182123.0
2004-Nov,3.5,183644.0
2004-Dec,3.3,185189.0
2005-Jan,3.0,186707.0
2005-Feb,3.0,188300.0
2005-Mar,3.1,189955.0
2005-Apr,3.5,191855.0
2005-May,2.8,193833.0
2005-Jun,2.5,195894.0
2005-Jul,3.2,197932.0
2005-Aug,3.6,199983.0
2005-Sep,4.7,201966.0
2005-Oct,4.3,203808.0
2005-Nov,3.5,205455.0
2005-Dec,3.4,206931.0
2006-Jan,4.0,208179.0
2006-Feb,3.6,209386.0
2006-Mar,3.4,210647.0
2006-Apr,3.5,212013.0
2006-May,4.2,213315.0
2006-Jun,4.3,214409.0
2006-Jul,4.1,215209.0
2006-Aug,3.8,215814.0
2006-Sep,2.1,216150.0
2006-Oct,1.3,216394.0
2006-Nov,2.0,216470.0
2006-Dec,2.5,216514.0
2007-Jan,2.1,216496.0
2007-Feb,2.4,216515.0
2007-Mar,2.8,216523.0
2007-Apr,2.6,216540.0
2007-May,2.7,216382.0
2007-Jun,2.7,216032.0
2007-Jul,2.4,215423.0
2007-Aug,2.0,214779.0
2007-Sep,2.8,213995.0
2007-Oct,3.5,213179.0
2007-Nov,4.3,212152.0
2007-Dec,4.1,211114.0
2008-Jan,4.3,209876.0
2008-Feb,4.0,208535.0
2008-Mar,4.0,207034.0
2008-Apr,3.9,205466.0
2008-May,4.2,203884.0
2008-Jun,5.0,202214.0
2008-Jul,5.6,200423.0
2008-Aug,5.4,198379.0
2008-Sep,4.9,196382.0
2008-Oct,3.7,194461.0
2008-Nov,1.1,192565.0
2008-Dec,0.1,190675.0
2009-Jan,0.0,188833.0
2009-Feb,0.2,187390.0
2009-Mar,-0.4,186036.0
2009-Apr,-0.7,184776.0
2009-May,-1.3,183475.0
2009-Jun,-1.4,182285.0
2009-Jul,-2.1,181218.0
2009-Aug,-1.5,180188.0
2009-Sep,-1.3,179236.0
2009-Oct,-0.2,178495.0
2009-Nov,1.8,178155.0
2009-Dec,2.7,178013.0
2010-Jan,2.6,177942.0
2010-Feb,2.1,177836.0
2010-Mar,2.3,177845.0
2010-Apr,2.2,178012.0
2010-May,2.0,178082.0
2010-Jun,1.1,177871.0
2010-Jul,1.2,177158.0
2010-Aug,1.1,176212.0
2010-Sep,1.1,175092.0
2010-Oct,1.2,174003.0
2010-Nov,1.1,172887.0
2010-Dec,1.5,171876.0
2011-Jan,1.6,170922.0
2011-Feb,2.1,170065.0
2011-Mar,2.7,169254.0
2011-Apr,3.2,168403.0
2011-May,3.6,167520.0
2011-Jun,3.6,166677.0
2011-Jul,3.6,166013.0
2011-Aug,3.8,165430.0
2011-Sep,3.9,164918.0
2011-Oct,3.5,164379.0
2011-Nov,3.4,163930.0
2011-Dec,3.0,163525.0
2012-Jan,2.9,163297.0
2012-Feb,2.9,163187.0
2012-Mar,2.7,163356.0
2012-Apr,2.3,163679.0
2012-May,1.7,164156.0
2012-Jun,1.7,164607.0
2012-Jul,1.4,165069.0
2012-Aug,1.7,165509.0
2012-Sep,2.0,165997.0
2012-Oct,2.2,166576.0
2012-Nov,1.8,167284.0
2012-Dec,1.7,168080.0
2013-Jan,1.6,169051.0
2013-Feb,2.0,170136.0
2013-Mar,1.5,171376.0
2013-Apr,1.1,172629.0
2013-May,1.4,173962.0
2013-Jun,1.8,175319.0
2013-Jul,2.0,176680.0
2013-Aug,1.5,177942.0
2013-Sep,1.2,179144.0
2013-Oct,1.0,180297.0
2013-Nov,1.2,181375.0
2013-Dec,1.5,182406.0
2014-Jan,1.6,183429.0
2014-Feb,1.1,184482.0
2014-Mar,1.5,185352.0
2014-Apr,2.0,186067.0
2014-May,2.1,186717.0
2014-Jun,2.1,187385.0
2014-Jul,2.0,187972.0
2014-Aug,1.7,188377.0
2014-Sep,1.7,188757.0
2014-Oct,1.7,189244.0
2014-Nov,1.3,189887.0
2014-Dec,0.8,190615.0
2015-Jan,-0.1,191351.0
2015-Feb,0.0,192170.0
2015-Mar,-0.1,193074.0
2015-Apr,-0.2,194013.0
2015-May,0.0,194946.0
2015-Jun,0.1,195750.0
2015-Jul,0.2,196457.0
2015-Aug,0.2,197135.0
2015-Sep,0.0,197859.0
2015-Oct,0.2,198617.0
2015-Nov,0.5,199350.0
2015-Dec,0.7,200219.0
2016-Jan,1.4,201186.0
2016-Feb,1.0,202238.0
2016-Mar,0.9,203157.0
2016-Apr,1.1,204146.0
2016-May,1.0,205103.0
2016-Jun,1.0,206074.0
2016-Jul,0.8,206943.0
2016-Aug,1.1,207776.0
2016-Sep,1.5,208648.0
2016-Oct,1.6,209586.0
2016-Nov,1.7,210642.0
2016-Dec,2.1,211730.0
2017-Jan,2.5,212825.0
2017-Feb,2.7,213946.0
2017-Mar,2.4,215108.0
2017-Apr,2.2,216350.0
2017-May,1.9,217538.0
2017-Jun,1.6,218676.0
2017-Jul,1.7,219673.0
2017-Aug,1.9,220672.0
2017-Sep,2.2,221765.0
2017-Oct,2.0,222969.0
2017-Nov,2.2,224235.0
2017-Dec,2.1,225532.0
2018-Jan,2.1,226822.0
2018-Feb,2.2,228192.0
2018-Mar,2.4,229524.0
2018-Apr,2.5,230842.0
2018-May,2.8,232058.0
2018-Jun,2.9,233171.0
2018-Jul,2.9,234203.0
2018-Aug,2.7,235181.0
2018-Sep,2.3,236157.0
2018-Oct,2.5,237122.0
2018-Nov,2.2,238096.0
2018-Dec,1.9,239088.0
2019-Jan,1.6,240107.0
2019-Feb,1.5,241048.0
2019-Mar,1.9,241856.0
2019-Apr,2.0,242555.0
2019-May,1.8,243200.0
2019-Jun,1.6,243801.0
2019-Jul,1.8,244353.0
2019-Aug,1.7,244912.0
2019-Sep,1.7,245545.0
2019-Oct,1.8,246258.0
2019-Nov,2.1,246993.0
2019-Dec,2.3,247820.0
2020-Jan,2.5,248804.0
2020-Feb,2.3,249948.0
2020-Mar,1.5,251233.0
2020-Apr,0.3,252454.0
2020-May,0.1,253301.0
2020-Jun,0.6,254008.0
2020-Jul,1.0,255106.0
2020-Aug,1.3,257022.0
2020-Sep,1.4,259531.0
2020-Oct,1.2,262350.0
2020-Nov,1.2,265374.0
2020-Dec,1.4,268418.0
2021-Jan,1.4,271650.0
2021-Feb,1.7,275006.0
2021-Mar,2.6,278663.0
2021-Apr,4.2,282524.0
2021-May,5.0,287231.0
2021-Jun,5.4,292759.0
2021-Jul,5.4,298643.0
2021-Aug,5.3,304039.0
2021-Sep,5.4,308663.0
2021-Oct,6.2,312760.0
2021-Nov,6.8,316645.0
2021-Dec,7.0,320978.0
